feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X3000518	Group	LM	1.45191415405765	0.265989028602941	40	11	3.39754433670204e-06	0.000244623192242547
X3003922	Group	LM	1.77045416105274	0.356804479434726	40	12	1.58640903830877e-05	0.000276238055056984
X3003923	Group	LM	1.40200844375407	0.280310261900841	40	13	1.40351430838968e-05	0.000276238055056984
X3004580	Group	LM	1.76662487674685	0.341392880748557	40	12	8.21086178167867e-06	0.000276238055056984
X3004580	Timepoint	D28	1.63561720369311	0.341392880748557	40	12	2.68564775749845e-05	0.000276238055056984
X3004588	Group	LM	1.83627747410362	0.382765530801542	40	11	2.63350589818977e-05	0.000276238055056984
X3004588	Timepoint	D28	1.83627747410362	0.382765530801542	40	11	2.63350589818976e-05	0.000276238055056984
X3003922	Timepoint	D28	1.67045416105274	0.356804479434726	40	12	3.75441364755326e-05	0.000326770944044534
X3005059	Group	LM	1.31033509731903	0.285075019887573	40	10	4.87068485418009e-05	0.000326770944044534
X3005059	Timepoint	D28	1.31033509731903	0.285075019887573	40	10	4.87068485418012e-05	0.000326770944044534
X3000518	Timepoint	D28	1.22045397251935	0.265989028602941	40	11	4.99233386734704e-05	0.000326770944044534
X3003209	Group	LM	1.25917215665848	0.281958851689967	40	9	7.24488492631106e-05	0.000401255165149535
X3003209	Timepoint	D28	1.25917215665848	0.281958851689967	40	9	7.24488492631106e-05	0.000401255165149535
X3007180	Group	LM	1.2175245160932	0.274910797868726	40	10	8.10349398462247e-05	0.000416751119209156
X3000516	Group	LM	1.0566535413993	0.251662808711179	40	9	0.000161792724343321	0.000776605076847942
X3004122	Group	LM	0.940331012399799	0.229505618293884	40	9	0.000218802852146488	0.000926694432620421
X3004122	Timepoint	D28	0.940331012399799	0.229505618293884	40	9	0.000218802852146488	0.000926694432620421
X3007180	Timepoint	D28	1.0940804233979	0.274910797868726	40	10	0.00030945482696588	0.00123781930786352
X3000191	Group	LM	-1.94006993162081	0.493023346864634	40	19	0.000352836563085825	0.00133706487064102
X3003923	Timepoint	D28	1.05647160557603	0.280310261900841	40	13	0.000571995829657624	0.00205918498676745
X3002459	Group	LM	0.836030885142521	0.224572057439926	40	8	0.000653373375933943	0.0021383128666929
X3002459	Timepoint	D28	0.836030885142521	0.224572057439926	40	8	0.000653373375933941	0.0021383128666929
X3000516	Timepoint	D28	0.917352213237037	0.251662808711179	40	9	0.000816047549024761	0.00255458363172969
X3000375	Group	LM	1.72211768068955	0.486738229215933	40	17	0.00110590192749791	0.00331770578249374
X3001855	Group	LM	1.10285243020027	0.313551175603477	40	9	0.00117263038555758	0.00337717551040584
X3000823	Group	LM	0.906200640989545	0.261713936616468	40	8	0.00136741714682826	0.00378669363737056
X3005053	Group	LM	1.07903845896856	0.32546816412303	40	10	0.00205743987296108	0.0052905596733285
X3005053	Timepoint	D28	1.07903845896856	0.32546816412303	40	10	0.00205743987296108	0.0052905596733285
X3000300	Timepoint	D28	1.40335789347029	0.443826926305765	40	8	0.00312421909776631	0.00767248742963967
X3002875	Timepoint	D28	0.920969373193317	0.292054646381863	40	9	0.00319686976234986	0.00767248742963967
X3003948	Timepoint	D28	1.00162858186153	0.335665771417314	40	11	0.00501628554313534	0.0116507277130885
X3003551	Timepoint	D28	0.626917822229287	0.211758240115133	40	7	0.00533453677422382	0.0120027077420036
X3000190	Timepoint	D28	-1.46605089357608	0.53439904350584	40	27	0.00932097493740347	0.0190131233897637
X3000005	Timepoint	D28	-0.644037180268057	0.235433270244809	40	6	0.00950656169488183	0.0190131233897637
X3004583	Group	LM	0.615418739350787	0.224099565178363	40	6	0.00925488840611801	0.0190131233897637
X3004583	Timepoint	D28	0.615418739350787	0.224099565178363	40	6	0.00925488840611801	0.0190131233897637
X3002804	Group	LM	0.524267552438907	0.197327993479249	40	6	0.0115739155591907	0.021929524217414
X3002804	Timepoint	D28	0.524267552438907	0.197327993479249	40	6	0.0115739155591907	0.021929524217414
X3003551	Group	LM	0.526917822229287	0.211758240115133	40	7	0.0174640358377726	0.0322412969312725
X3002922	Group	LM	0.649222480759913	0.266340619630668	40	6	0.0197118938654048	0.0354814089577286
X3000196	Group	LM	1.08955181403315	0.482843514605465	40	38	0.0300333781828712	0.0527415421747981
X3002966	Group	LM	0.55547046192796	0.25063750332026	40	5	0.0329058013467797	0.056409945165908
X3003070	Timepoint	D28	-0.503648455648767	0.230213617998556	40	5	0.0350812998248268	0.0587407811020356
X3003949	Group	LM	0.544177738165855	0.252181736010067	40	8	0.0374983609966629	0.0613609543581756
X3002970	Group	LM	0.638390042864352	0.312708261356495	40	5	0.0483816073428069	0.0774105717484911
X3002705	Timepoint	D28	-0.517846684361185	0.255885783248759	40	7	0.0502636809294456	0.0786735875417409
X3000823	Timepoint	D28	0.522466170529815	0.261713936616468	40	8	0.0532968419435462	0.0816462259560708
X3000005	Group	LM	-0.461357845399179	0.235433270244809	40	6	0.0576069848343898	0.0846469981240013
X3001855	Timepoint	D28	0.614650935679721	0.313551175603477	40	9	0.0575248382290075	0.0846469981240013
X3000300	Group	LM	0.860407118208502	0.443826926305765	40	8	0.0602058280011053	0.0866963923215916
X3003949	Timepoint	D28	0.474539413597881	0.252181736010067	40	8	0.0677566332006825	0.09565642334214
X3002875	Group	LM	0.507428431939708	0.292054646381863	40	9	0.0906276326317952	0.125484414413255
X3000375	Timepoint	D28	0.816523961771203	0.486738229215933	40	17	0.101865819874444	0.138383755301132
X3003578	Timepoint	D28	-0.296626290678154	0.187793353701223	40	5	0.122725490963364	0.163633987951152
X3000196	Timepoint	D28	-0.714044750792891	0.482843514605465	40	38	0.147648878504844	0.19328580458816
X3007127	Timepoint	D28	-0.298984405349049	0.22493847694482	40	5	0.191925870928095	0.246761834050408
X3003948	Group	LM	0.364318655907693	0.335665771417314	40	11	0.284782889359644	0.359725754980603
X3003070	Group	LM	-0.246702775700889	0.230213617998556	40	5	0.290828728167122	0.361028766000565
X3003578	Group	LM	0.192058906425515	0.187793353701223	40	5	0.313083585876198	0.382068104798072
X3002930	Timepoint	D28	-0.114716783857277	0.145343593666909	40	5	0.434977245940338	0.521972695128406
X3000567	Group	LM	0.201796153760171	0.273814289170842	40	8	0.465781238064281	0.549774576075872
X3002970	Timepoint	D28	-0.222056574988245	0.312708261356495	40	5	0.482089150718696	0.559845465350743
X3000567	Timepoint	D28	-0.183702007498087	0.273814289170842	40	8	0.506451028565384	0.578801175503295
X3002930	Group	LM	-0.0922042233987955	0.145343593666909	40	5	0.529730826781894	0.595947180129631
X3000190	Group	LM	0.274221341667478	0.53439904350584	40	27	0.610904097516971	0.671290550456411
X3007127	Group	LM	-0.111411335993317	0.22493847694482	40	5	0.623319426515182	0.671290550456411
X3002966	Timepoint	D28	-0.123654821653823	0.25063750332026	40	5	0.62467315111916	0.671290550456411
X3002647	Timepoint	D28	-0.0985567255454479	0.217928591337948	40	7	0.653734167223238	0.69218911823637
X3000191	Timepoint	D28	0.178329783479023	0.493023346864634	40	19	0.719628847526599	0.750917058288625
X3002647	Group	LM	0.0410268016060469	0.217928591337948	40	7	0.851703145334582	0.87603752091557
X3002922	Timepoint	D28	0.0405082162402162	0.266340619630668	40	6	0.879940879717105	0.892334413234248
X3002705	Group	LM	0.032882472517639	0.255885783248759	40	7	0.898445710858527	0.898445710858527
